user_name,location,friends,followers,created_date,text_raw
blackdogbear,None,145,66,2020-12-13T23:06:21,this right here. so glad i cancelled my sub to the Wall Street Urinal so many years ago. :-)
NickStratmann,"St Louis, MO",2606,766,2020-12-13T23:06:22,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Veedramon,FFXIV: Mateus,399,768,2020-12-13T23:06:23,all the shit i have my eye on the pokemoncenter site is out of stock STILL
BassoonBuffoon,None,320,234,2020-12-13T23:06:24,"@Seemeonlan I wasn't coming into this expecting to not have some incidental D1 commentary here and there, but I fee… https://t.co/K7VPcrIkgn"
CreationRebel6,None,239,85,2020-12-13T23:06:25,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Panjsheri_,"Washington, DC",477,160,2020-12-13T23:06:26,RT @ajitosu: @AnthonyOhayon A big yes. $SQ is the most “matured” stock in my portfolio. It can easily grow 2x in the next 5 yrs but by then…
FreeDem15,None,58,8,2020-12-13T23:06:26,RT @Hotel3_: I was just informed from more than one reliable source that this weekend would be a very good time to stock up. Two weeks food…
Captkenimo,"BlueHawaii, USA",10131,10067,2020-12-13T23:06:28,Retweeted by @LLinWood 👇🏽👇🏽👇🏽
rpa5476,None,331,41,2020-12-13T23:06:28,"RT @KathaPollitt: Monica Hesse puts Joseph Epstein and the WSJ in their place. 
https://t.co/dcaq1fCBLG"
wjfairfield,USA,595,122,2020-12-13T23:06:28,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
matthewboyle27,"Cape May, NJ",432,549,2020-12-13T23:06:28,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
kimseekstruth,None,387,164,2020-12-13T23:06:29,Try “thinking for yourself”. If you have a solution to a virus you would be buying more stock not selling. Pfizer's… https://t.co/YLoIp03L9W
Jared_2A,None,92,5,2020-12-13T23:06:29,"@BWilson1492 @laurenboebert @irs Next time read up on what Trump actually does, and stop letting the media think fo… https://t.co/z3UvWNsqDt"
williamwong47,Hong Kong,39,3,2020-12-13T23:06:30,@traderstewie this stock I have been looking for 2 weeks. Finally！
Novanaditya20,nomaden ,794,307,2020-12-13T23:06:30,"RT @ko2w: “Hello, Mas Elon?”
“No, it’s Elon Musk.” https://t.co/2xcI2BSR93"
AngeliniAlfredo,"Caracas, Venezuela",2524,1538,2020-12-13T23:06:30,RT @toddstarnes: If the Wall Street Journal story is true and Attorney General Barr knew in the spring about the Biden investigation and ke…
MaryLou73874297,None,30,11,2020-12-13T23:06:30,RT @Hotel3_: I was just informed from more than one reliable source that this weekend would be a very good time to stock up. Two weeks food…
Sipheera,"Utah, USA",789,699,2020-12-13T23:06:31,"RT @ReneeAlida: The Wall Street Journal referred to DR. Jill Biden as ""kiddo""??

Would you refer to ANY man by that name? Even the most med…"
jadonat9832,"Poway, CA",4997,1499,2020-12-13T23:06:32,RT @TruthSeeker____: A Chinese-Owned Stock Trading App is Quietly Amassing US Users https://t.co/kYmCbSfPFF
informatory,YouTube,734,1770,2020-12-13T23:06:32,Indian iPhone Factory Attacked by Angry Workers - The Wall Street Journal https://t.co/ldGaI2nttM
craftyclassyrn,None,2512,2389,2020-12-13T23:06:33,RT @ShowingSparkle: LIMITED STOCK REMAINING! Traditional Metallic Silver &amp; Diamante Stock Pin ~ Showing ~ Hunting ~ Dressage  | eBay https:…
66camshaft,"Boston, Massachusetts",1115,675,2020-12-13T23:06:33,"RT @CollinsKellyE: @EmeraldRobinson Shocker. Next up: Nike, NBA, Goodyear, Google, Hollywood studios, medical institutions, Wall Street, Ha…"
KimRick31years,#DeportTxIllegalAliens👊,3412,1892,2020-12-13T23:06:33,RT @realDonaldTrump: A big disappointment! https://t.co/esmB5HrJlH
akokitamura,Tokyo,550,27624,2020-12-13T23:06:33,"RT @serkantoto: At Yodobashi in Akihabara, Tokyo’s biggest electronics store. 

I almost cannot believe my eyes: all Switch products listed…"
JesseCohenInv,Tel Aviv,263,13878,2020-12-13T23:06:34,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
ScottyM26251233,How did I get here?,29,11,2020-12-13T23:06:34,@Clayton4_ He's gotta build his futuristic George Jetson City sometime before he dies.  Musk isn't letting him set… https://t.co/mWnZGXTl4i
exposebeastsys,None,488,284,2020-12-13T23:06:35,@KamalaHarris Give money to the sky gods to be less angry. And re stock the global nwo slush fund.
LucasArchambau6,None,33,5,2020-12-13T23:06:36,"Your free stock is waiting for you! Join Robinhood and we'll both get a stock like Apple, Ford, or Facebook for fre… https://t.co/ljeZijIVFK"
tgaroupa,"Fort Collins, CO",1105,19,2020-12-13T23:06:36,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Douatrm,"Houston, TX",166,502,2020-12-13T23:06:36,RT @MollyJongFast: Fuck yes https://t.co/A6ebYH1rso
carsonbc,"Lower Sackville, NS",49,239,2020-12-13T23:06:38,@VicTafur Gruden and his boyfriend Guenther are a joke and a laughing stock of the league.
hah0921,"Tampa, FL",4984,3018,2020-12-13T23:06:39,RT @ukexpat19: NEW RULE: Members of Congress SHOULD NOT own stocks!
